    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    62.187528    29.803812    -4.077539    -3.055176     0.020000
    66.521056    30.502426    -4.014648    -2.448730     0.020000
    42.874806    25.030105    -2.677539    -2.448730     0.020000
    67.934726    30.741380    -4.014648    -1.555176     0.020000
    67.934726    30.741380    -4.014648    -1.555176     0.020000
    42.874806    25.030105    -2.677539    -2.448730     0.020000
    63.355262    29.932064    -2.677539    -1.555176     0.020000
    65.013738    30.164645    -3.839648    -2.636230     0.020000
    65.425127    30.247247    -3.902539    -2.636230     0.020000
    65.548254    30.323761    -3.839648    -2.492676     0.020000
    65.548254    30.323761    -3.839648    -2.492676     0.020000
    65.425127    30.247247    -3.902539    -2.636230     0.020000
    65.891582    30.385157    -3.902539    -2.492676     0.020000
    64.853289    30.137192    -2.439648    -1.136230     0.020000
    65.286542    30.223728    -2.502539    -1.136230     0.020000
     0.614868     0.003828    -2.439648    -3.992676     0.020000
     0.614868     0.003828    -2.439648    -3.992676     0.020000
    65.286542    30.223728    -2.502539    -1.136230     0.020000
     0.610974     0.003900    -2.502539    -3.992676     0.020000
     0.259759     0.003197    -1.739648    -3.386230     0.020000
    28.717045    17.957554    -3.202539    -3.386230     0.020000
    30.734880    20.700351    -1.739648    -1.742676     0.020000
    30.734880    20.700351    -1.739648    -1.742676     0.020000
    28.717045    17.957554    -3.202539    -3.386230     0.020000
    65.948715    30.403240    -3.202539    -1.742676     0.020000
    64.871021    30.191870    -3.139648    -1.886230     0.020000
    28.022410    19.294200    -1.802539    -1.886230     0.020000
    29.082699    19.491488    -3.139648    -3.242676     0.020000
    29.082699    19.491488    -3.139648    -3.242676     0.020000
    28.022410    19.294200    -1.802539    -1.886230     0.020000
     0.284922     0.005274    -1.802539    -3.242676     0.020000
    37.517950    17.632959    -3.489648    -3.761230     0.020000
     5.479069     1.163657    -2.852539    -3.761230     0.020000
    60.327087    28.650501    -3.489648    -2.867676     0.020000
    60.327087    28.650501    -3.489648    -2.867676     0.020000
     5.479069     1.163657    -2.852539    -3.761230     0.020000
    41.377173    22.385920    -2.852539    -2.867676     0.020000
    22.976579    17.295365    -2.089648    -2.261230     0.020000
    67.501389    30.674055    -4.252539    -2.261230     0.020000
    56.892428    28.558702    -2.089648    -1.367676     0.020000
    56.892428    28.558702    -2.089648    -1.367676     0.020000
    67.501389    30.674055    -4.252539    -2.261230     0.020000
    68.080195    30.765149    -4.252539    -1.367676     0.020000
    21.561387    16.508507    -2.789648    -3.011230     0.020000
     1.869552     1.118315    -2.152539    -3.011230     0.020000
     5.935964     1.977464    -2.789648    -3.617676     0.020000
     5.935964     1.977464    -2.789648    -3.617676     0.020000
     1.869552     1.118315    -2.152539    -3.011230     0.020000
     0.389316     0.002316    -2.152539    -3.617676     0.020000
    68.027013    30.756676    -4.189648    -1.511230     0.020000
    67.556554    30.676928    -3.552539    -1.511230     0.020000
