    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    68.409444    30.755987    -3.940479    -1.323730     0.020000
    68.146234    28.492475    -3.940479    -3.430176     0.020000
    66.203813    22.386508    -3.026318    -3.198730     0.020000
    66.461279    23.176700    -3.077978    -3.198730     0.020000
    61.878745     6.778321    -3.026318    -3.805176     0.020000
    61.878745     6.778321    -3.026318    -3.805176     0.020000
    66.461279    23.176700    -3.077978    -3.198730     0.020000
    62.942621     8.218917    -3.077978    -3.805176     0.020000
    55.546900    25.561151    -1.876318    -1.698730     0.020000
    56.756300    26.099106    -1.927979    -1.698730     0.020000
    51.653301    16.870798    -1.876318    -2.305176     0.020000
    51.653301    16.870798    -1.876318    -2.305176     0.020000
    56.756300    26.099106    -1.927979    -1.698730     0.020000
    53.141189    18.026447    -1.927979    -2.305176     0.020000
    43.596969     0.004010    -2.451318    -3.948730     0.020000
    67.177189    20.377351    -3.652979    -3.948730     0.020000
    61.002816    13.835477    -2.451318    -3.055176     0.020000
    61.002816    13.835477    -2.451318    -3.055176     0.020000
    67.177189    20.377351    -3.652979    -3.948730     0.020000
    68.006908    29.172395    -3.652979    -3.055176     0.020000
    68.062900    30.285048    -3.601318    -2.448730     0.020000
    63.378577    25.207722    -2.502979    -2.448730     0.020000
    68.238572    30.698692    -3.601318    -1.555176     0.020000
    68.238572    30.698692    -3.601318    -1.555176     0.020000
    63.378577    25.207722    -2.502979    -2.448730     0.020000
    65.326033    29.762135    -2.502979    -1.555176     0.020000
    67.855060    29.719725    -3.457568    -2.636230     0.020000
    67.927126    29.836457    -3.509228    -2.636230     0.020000
    67.883484    30.021031    -3.457568    -2.492676     0.020000
    67.883484    30.021031    -3.457568    -2.492676     0.020000
    67.927126    29.836457    -3.509228    -2.636230     0.020000
    67.952370    30.105100    -3.509228    -2.492676     0.020000
    65.505652    29.994330    -2.307568    -1.136230     0.020000
    65.831093    30.081972    -2.359228    -1.136230     0.020000
    42.616062     0.003300    -2.307568    -3.992676     0.020000
    42.616062     0.003300    -2.307568    -3.992676     0.020000
    65.831093    30.081972    -2.359228    -1.136230     0.020000
    42.965196     0.001945    -2.359228    -3.992676     0.020000
    34.820186     0.002666    -1.732568    -3.386230     0.020000
    64.930961    15.976107    -2.934229    -3.386230     0.020000
    51.279503    23.243256    -1.732568    -1.742676     0.020000
    51.279503    23.243256    -1.732568    -1.742676     0.020000
    64.930961    15.976107    -2.934229    -3.386230     0.020000
    67.090205    30.240413    -2.934229    -1.742676     0.020000
    66.777936    29.972454    -2.882568    -1.886230     0.020000
    51.723113    22.127310    -1.784228    -1.886230     0.020000
    65.162960    18.804254    -2.882568    -3.242676     0.020000
