    K_f          mu_f          f            Kp
    60.834747    27.797254     0.864181     0.020000
    60.690049    27.721534     0.867492     0.020000
    60.541002    27.642506     0.870803     0.020000
    60.387408    27.559947     0.874114     0.020000
    60.229055    27.473613     0.877425     0.020000
    60.065720    27.383238     0.880736     0.020000
    59.897162    27.288528     0.884047     0.020000
    59.723128    27.189163     0.887358     0.020000
    59.543346    27.084786     0.890669     0.020000
    59.357527    26.975007     0.893980     0.020000
    59.165361    26.859389     0.897291     0.020000
    58.966517    26.737452     0.900602     0.020000
    58.760641    26.608655     0.903913     0.020000
    58.547355    26.472399     0.907224     0.020000
    58.326249    26.328007     0.910535     0.020000
    58.096886    26.174720     0.913846     0.020000
    57.858794    26.011679     0.917157     0.020000
    57.611467    25.837909     0.920468     0.020000
    57.354355    25.652300     0.923779     0.020000
    57.086867    25.453580     0.927090     0.020000
    56.808360    25.240285     0.930401     0.020000
    56.518142    25.010721     0.933712     0.020000
    56.215455    24.762914     0.937023     0.020000
    55.899480    24.494555     0.940334     0.020000
    55.569322    24.202916     0.943645     0.020000
    55.224003    23.884753     0.946957     0.020000
    54.862456    23.536173     0.950268     0.020000
    54.483508    23.152463     0.953579     0.020000
    54.085872    22.727852     0.956890     0.020000
    53.668132    22.255189     0.960201     0.020000
    53.228722    21.725490     0.963512     0.020000
    52.765912    21.127293     0.966823     0.020000
    52.277781    20.445709     0.970134     0.020000
    51.762193    19.660980     0.973445     0.020000
    51.216764    18.746235     0.976756     0.020000
    50.638827    17.663815     0.980067     0.020000
    50.025386    16.358996     0.983378     0.020000
    49.373065    14.748569     0.986689     0.020000
    48.678047    12.698504     0.990000     0.020000
    63.808119    29.087214     0.000000     0.050000
    63.794380    29.083069     0.003311     0.050000
    63.780560    29.078898     0.006622     0.050000
    63.766660    29.074700     0.009933     0.050000
    63.752677    29.070475     0.013244     0.050000
    63.738613    29.066224     0.016555     0.050000
    63.724465    29.061945     0.019866     0.050000
    63.710233    29.057639     0.023177     0.050000
    63.695917    29.053305     0.026488     0.050000
    63.681516    29.048942     0.029799     0.050000
    63.667028    29.044552     0.033110     0.050000
    63.652453    29.040133     0.036421     0.050000
    63.637791    29.035684     0.039732     0.050000
    63.623040    29.031207     0.043043     0.050000
    63.608199    29.026700     0.046355     0.050000
    63.593269    29.022164     0.049666     0.050000
    63.578248    29.017597     0.052977     0.050000
    63.563135    29.013000     0.056288     0.050000
    63.547929    29.008372     0.059599     0.050000
    63.532630    29.003713     0.062910     0.050000
    63.517236    28.999023     0.066221     0.050000
    63.501747    28.994302     0.069532     0.050000
    63.486162    28.989548     0.072843     0.050000
    63.470480    28.984762     0.076154     0.050000
    63.454700    28.979944     0.079465     0.050000
    63.438822    28.975092     0.082776     0.050000
    63.422843    28.970208     0.086087     0.050000
    63.406764    28.965290     0.089398     0.050000
    63.390583    28.960337     0.092709     0.050000
    63.374300    28.955351     0.096020     0.050000
    63.357913    28.950330     0.099331     0.050000
    63.341421    28.945273     0.102642     0.050000
    63.324824    28.940182     0.105953     0.050000
    63.308120    28.935054     0.109264     0.050000
    63.291308    28.929891     0.112575     0.050000
    63.274388    28.924691     0.115886     0.050000
    63.257358    28.919454     0.119197     0.050000
    63.240217    28.914179     0.122508     0.050000
    63.222964    28.908867     0.125819     0.050000
    63.205598    28.903517     0.129130     0.050000
    63.188119    28.898128     0.132441     0.050000
    63.170523    28.892701     0.135753     0.050000
    63.152812    28.887234     0.139064     0.050000
    63.134983    28.881727     0.142375     0.050000
    63.117035    28.876180     0.145686     0.050000
    63.098967    28.870592     0.148997     0.050000
    63.080778    28.864963     0.152308     0.050000
    63.062467    28.859293     0.155619     0.050000
    63.044032    28.853580     0.158930     0.050000
    63.025472    28.847825     0.162241     0.050000
    63.006786    28.842027     0.165552     0.050000
    62.987973    28.836185     0.168863     0.050000
    62.969031    28.830300     0.172174     0.050000
    62.949959    28.824370     0.175485     0.050000
    62.930755    28.818395     0.178796     0.050000
    62.911419    28.812374     0.182107     0.050000
    62.891949    28.806307     0.185418     0.050000
    62.872343    28.800194     0.188729     0.050000
    62.852600    28.794034     0.192040     0.050000
    62.832719    28.787826     0.195351     0.050000
    62.812698    28.781570     0.198662     0.050000
    62.792536    28.775266     0.201973     0.050000
    62.772230    28.768912     0.205284     0.050000
    62.751781    28.762508     0.208595     0.050000
    62.731185    28.756053     0.211906     0.050000
    62.710442    28.749547     0.215217     0.050000
    62.689550    28.742990     0.218528     0.050000
    62.668508    28.736381     0.221839     0.050000
    62.647313    28.729718     0.225151     0.050000
    62.625964    28.723002     0.228462     0.050000
    62.604459    28.716231     0.231773     0.050000
    62.582797    28.709406     0.235084     0.050000
    62.560976    28.702525     0.238395     0.050000
    62.538994    28.695588     0.241706     0.050000
    62.516849    28.688594     0.245017     0.050000
    62.494540    28.681542     0.248328     0.050000
    62.472065    28.674432     0.251639     0.050000
    62.449422    28.667263     0.254950     0.050000
    62.426608    28.660034     0.258261     0.050000
    62.403623    28.652745     0.261572     0.050000
    62.380463    28.645394     0.264883     0.050000
    62.357128    28.637981     0.268194     0.050000
    62.333615    28.630505     0.271505     0.050000
    62.309921    28.622965     0.274816     0.050000
    62.286046    28.615361     0.278127     0.050000
    62.261987    28.607691     0.281438     0.050000
    62.237741    28.599955     0.284749     0.050000
    62.213307    28.592152     0.288060     0.050000
    62.188682    28.584281     0.291371     0.050000
    62.163865    28.576342     0.294682     0.050000
    62.138852    28.568332     0.297993     0.050000
    62.113641    28.560252     0.301304     0.050000
    62.088231    28.552100     0.304615     0.050000
    62.062619    28.543876     0.307926     0.050000
    62.036802    28.535578     0.311237     0.050000
    62.010778    28.527205     0.314548     0.050000
    61.984544    28.518757     0.317860     0.050000
    61.958098    28.510232     0.321171     0.050000
    61.931438    28.501630     0.324482     0.050000
    61.904560    28.492949     0.327793     0.050000
    61.877462    28.484188     0.331104     0.050000
    61.850141    28.475347     0.334415     0.050000
    61.822595    28.466423     0.337726     0.050000
    61.794820    28.457416     0.341037     0.050000
    61.766815    28.448325     0.344348     0.050000
    61.738575    28.439149     0.347659     0.050000
    61.710098    28.429885     0.350970     0.050000
    61.681381    28.420534     0.354281     0.050000
    61.652422    28.411093     0.357592     0.050000
    61.623216    28.401562     0.360903     0.050000
    61.593761    28.391939     0.364214     0.050000
    61.564053    28.382223     0.367525     0.050000
    61.534089    28.372413     0.370836     0.050000
    61.503867    28.362506     0.374147     0.050000
    61.473382    28.352502     0.377458     0.050000
    61.442631    28.342400     0.380769     0.050000
    61.411611    28.332197     0.384080     0.050000
    61.380318    28.321893     0.387391     0.050000
    61.348748    28.311485     0.390702     0.050000
    61.316898    28.300973     0.394013     0.050000
    61.284764    28.290354     0.397324     0.050000
    61.252343    28.279627     0.400635     0.050000
    61.219629    28.268790     0.403946     0.050000
    61.186621    28.257842     0.407258     0.050000
    61.153312    28.246781     0.410569     0.050000
    61.119700    28.235605     0.413880     0.050000
    61.085779    28.224312     0.417191     0.050000
