    K_f          mu_f          f            Kp
     7.344597     5.520913     0.990000     0.050000
    55.447019    26.415584     0.000000     0.100000
    55.420448    26.408320     0.003311     0.100000
    55.393726    26.401013     0.006622     0.100000
    55.366851    26.393661     0.009933     0.100000
    55.339822    26.386263     0.013244     0.100000
    55.312638    26.378820     0.016555     0.100000
    55.285297    26.371330     0.019866     0.100000
    55.257798    26.363795     0.023177     0.100000
    55.230140    26.356212     0.026488     0.100000
    55.202321    26.348582     0.029799     0.100000
    55.174339    26.340904     0.033110     0.100000
    55.146194    26.333178     0.036421     0.100000
    55.117884    26.325404     0.039732     0.100000
    55.089408    26.317580     0.043043     0.100000
    55.060763    26.309706     0.046355     0.100000
    55.031949    26.301783     0.049666     0.100000
    55.002964    26.293808     0.052977     0.100000
    54.973807    26.285783     0.056288     0.100000
    54.944475    26.277706     0.059599     0.100000
    54.914968    26.269577     0.062910     0.100000
    54.885283    26.261396     0.066221     0.100000
    54.855420    26.253161     0.069532     0.100000
    54.825377    26.244873     0.072843     0.100000
    54.795151    26.236531     0.076154     0.100000
    54.764741    26.228134     0.079465     0.100000
    54.734146    26.219682     0.082776     0.100000
    54.703365    26.211174     0.086087     0.100000
    54.672394    26.202610     0.089398     0.100000
    54.641232    26.193989     0.092709     0.100000
    54.609879    26.185311     0.096020     0.100000
    54.578331    26.176574     0.099331     0.100000
    54.546587    26.167779     0.102642     0.100000
    54.514645    26.158925     0.105953     0.100000
    54.482504    26.150011     0.109264     0.100000
    54.450162    26.141037     0.112575     0.100000
    54.417616    26.132002     0.115886     0.100000
    54.384864    26.122905     0.119197     0.100000
    54.351906    26.113746     0.122508     0.100000
    54.318738    26.104524     0.125819     0.100000
    54.285358    26.095238     0.129130     0.100000
    54.251766    26.085889     0.132441     0.100000
    54.217958    26.076474     0.135753     0.100000
    54.183933    26.066994     0.139064     0.100000
    54.149689    26.057448     0.142375     0.100000
    54.115222    26.047834     0.145686     0.100000
    54.080532    26.038153     0.148997     0.100000
    54.045616    26.028404     0.152308     0.100000
    54.010472    26.018586     0.155619     0.100000
    53.975097    26.008698     0.158930     0.100000
    53.939490    25.998739     0.162241     0.100000
    53.903648    25.988709     0.165552     0.100000
    53.867568    25.978607     0.168863     0.100000
    53.831249    25.968432     0.172174     0.100000
    53.794687    25.958183     0.175485     0.100000
    53.757881    25.947860     0.178796     0.100000
    53.720828    25.937462     0.182107     0.100000
    53.683525    25.926987     0.185418     0.100000
    53.645971    25.916436     0.188729     0.100000
    53.608161    25.905807     0.192040     0.100000
    53.570095    25.895099     0.195351     0.100000
    53.531769    25.884311     0.198662     0.100000
    53.493180    25.873444     0.201973     0.100000
    53.454326    25.862495     0.205284     0.100000
    53.415205    25.851463     0.208595     0.100000
